"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20260301","분당선","미금","9017","9006","20260304",""
"20260301","분당선","오리","6033","5422","20260304",""
"20260301","분당선","이매","3971","3993","20260304",""
"20260301","분당선","보정","1267","1227","20260304",""
"20260301","분당선","죽전","8786","9829","20260304",""
"20260301","분당선","구성","4712","4790","20260304",""
"20260301","분당선","신갈","2436","2457","20260304",""
"20260301","분당선","기흥","6309","5718","20260304",""
"20260301","분당선","상갈","3246","3280","20260304",""
"20260301","분당선","청명","2718","2646","20260304",""
"20260301","분당선","영통","6413","6276","20260304",""
"20260301","분당선","망포","8047","7913","20260304",""
"20260301","분당선","매탄권선","3341","3035","20260304",""
"20260301","분당선","수원시청","9399","10191","20260304",""
"20260301","분당선","매교","3116","3182","20260304",""
"20260301","서해선","김포공항","2796","4120","20260304",""
"20260301","서해선","원종","3694","3593","20260304",""
"20260301","서해선","부천종합운동장","1580","1373","20260304",""
"20260301","수인선","고색","2638","2778","20260304",""
